iter,time,reward,steps,shape
2,0.022256406000000006,98.42,3.58,2
2,0.04994273699999996,95.71,6.29,3
3,0.09362418900000002,93.19,8.81,4
3,0.10757170199999999,90.46,11.54,5
3,0.12055656600000031,84.66,17.34,7
4,0.20387642900000014,77.76,24.24,10
6,0.7388303149999995,63.91,38.09,15
7,1.8714450169999992,51.53,50.47,20
8,3.8941568760000003,35.33,66.67,25
8,4.984126760999999,23.43,78.57,30
10,8.595312567999997,10.39,91.61,35
11,13.560534876000006,-3.93,105.93,40
13,25.718116028999987,-30.15,132.15,50
