iter,time,reward,steps,shape
160,0.03547476899999999,98.45,3.55,2
253,0.05940544000000003,96.05,5.95,3
277,0.0834956280000001,92.96,9.04,4
370,0.10438824499999999,90.68,11.32,5
576,0.19025949200000003,85.48,16.52,7
840,0.18714916299999995,76.52,25.48,10
1479,0.5741723390000004,62.18,39.82,15
2287,1.3892854670000006,50.05,51.95,20
2650,1.8940931550000002,35.76,66.24,25
3468,3.185178106000002,22.62,79.38,30
4819,5.675702143999999,8.67,93.33,35
4406,7.4471556299999975,-6.38,108.38,40
27,0.35398389799999563,-3999.0,4000.0,50
